State,count
Texas,511
Florida,94
Kansas,29
Oklahoma,20
Virginia,15
Tennessee,12
Missouri,11
New York,9
Utah,9
Pennsylvania,8
Washington,5
Iowa,2
Ohio,2
Illinois,1
Indiana,1
Minnesota,1
New Jersey,1
