State,count
Florida,81
Texas,62
Georgia,9
Oklahoma,9
Indiana,3
New York,3
Wisconsin,3
Missouri,2
Pennsylvania,2
Alaska,1
Arkansas,1
Iowa,1
Kansas,1
Maryland,1
Ohio,1
Rhode Island,1
South Carolina,1
Utah,1
Virginia,1
