State,count,percent_of_all_bans
Texas,713,44.955863808322825
Pennsylvania,456,28.7515762925599
Florida,204,12.862547288776796
Oklahoma,43,2.711223203026482
Kansas,30,1.8915510718789406
Indiana,18,1.1349306431273645
Tennessee,16,1.008827238335435
Virginia,16,1.008827238335435
Missouri,15,0.9457755359394703
Georgia,13,0.819672131147541
