OBJECTID,Survey,Location,Date_,Source,US_Acres,Origin,Class,SubClass,Group_,CoOccuElem,Notes,SubGroup,CMECS_Code,Label,Shape_Length,Shape_Area
7076,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.072066,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,81.660800293372,480.819338624356
7077,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.086354,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,90.0880413437336,576.150356717358
7078,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.071789,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,81.45796857304,478.970925296229
7079,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.086562,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,88.6900855823698,577.513901854282
7080,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.077912,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,84.4975494911017,519.795881089724
7081,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.077197,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,90.3840975762081,516.644491217126
7082,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.136786,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,127.634326536089,914.923526771185
7083,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.20218,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,152.648486929041,1351.63970706442
7084,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.107735,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,138.798037931946,720.311094587414
7085,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.195376,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,139.079868228073,1306.67558347082
7086,Acoustic,"Magothy River, MD",2006-2008,NOAA-CBO,0.584692,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,463.227797382495,3932.36243823877
7087,Acoustic,"Magothy River, MD",2006-2008,NOAA-CBO,3.563277,Anthropogenic,Anthropogenic_Shell,Anthropogenic_Shell_Rubble,Anthropogenic_Oyster_Rubble,<Null>, , ,S3.6.2.1,Man-Made Oyster Rubble,651.054842600066,23967.5610535285
7088,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,0.495661,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,231.702929623414,3325.90360325259
7089,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,1.298793,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,382.745288767548,8714.96407162735
7090,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,0.266631,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,215.003712207304,1793.56401507313
7091,MBBS-Oyster,MD,1974-1983,MD DNR,0.514157,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,366.868706246206,3450.31291364586
